Date,Confirmed,Deaths,Recovered,d_rate1,d_rate2
2020-03-01,88369,2996,42716,0.03390329187837364,0.07013765333832755
2020-03-02,90306,3085,45602,0.03416162824175581,0.0676505416429104
2020-03-03,92840,3160,48228,0.034037052994398964,0.06552210334245666
2020-03-04,95120,3254,51170,0.0342094196804037,0.06359194840726988
2020-03-05,97886,3348,53796,0.03420305253049466,0.06223511041713139
2020-03-06,101801,3460,55865,0.03398787831160794,0.06193502192786181
2020-03-07,105847,3558,58358,0.033614556860373936,0.06096850474656431
2020-03-08,109821,3802,60694,0.03461997250070569,0.06264210630375325
2020-03-09,113590,3988,62494,0.03510872435953869,0.06381412615611098
2020-03-10,118620,4262,64404,0.035929860057325916,0.06617601391217937
2020-03-11,125875,4615,67003,0.03666335650446872,0.06887751294718147
2020-03-12,128352,4720,68324,0.03677387185240588,0.06908260640477724
2020-03-13,145205,5404,70251,0.03721634929926655,0.07692417189790893
2020-03-14,156101,5819,72624,0.03727714748784441,0.08012502753910553
2020-03-15,167454,6440,76034,0.038458322882702116,0.08469895046952679
2020-03-16,181574,7126,78088,0.039245706984480155,0.09125601885052761
2020-03-17,197102,7905,80840,0.04010613793873223,0.09778574962889659
2020-03-18,214821,8733,83312,0.04065245017945173,0.10482283464566929
2020-03-19,242570,9867,84975,0.04067691800305066,0.11611650485436893
2020-03-20,272208,11299,87420,0.04150869923000059,0.12924959963395105
2020-03-21,304507,12973,91692,0.04260328990794957,0.14148453518300397
2020-03-22,336953,14651,97899,0.04348084154169869,0.14965423548759435
2020-03-23,378231,16505,98351,0.04363735389219815,0.16781730739900966
2020-03-24,418041,18625,108000,0.04455304623230736,0.1724537037037037
2020-03-25,467653,21181,113787,0.045292128993078204,0.18614604480300914
2020-03-26,529591,23970,122150,0.04526134318747864,0.1962341383544822
2020-03-27,593291,27198,130915,0.04584259663470371,0.20775312225489823
2020-03-28,660693,30652,139415,0.046393710846035906,0.21986156439407525
2020-03-29,720140,33925,149082,0.047108895492543115,0.2275593297648274
2020-03-30,782389,37582,164566,0.048034928916434155,0.2283703802729604
2020-03-31,857487,42108,178034,0.04910628382704344,0.2365166204208185
2020-04-01,932475,47183,193177,0.050599747982519636,0.2442475035847953
2020-04-02,1013326,52986,210263,0.05228919419811591,0.2519986873582133
2020-04-03,1095698,58790,225796,0.05365529552851242,0.26036776559372177
2020-04-04,1175857,64607,246152,0.05494460635944677,0.2624679060092951
2020-04-05,1249484,69374,260012,0.055522119530942375,0.2668107625801886
2020-04-06,1321131,74565,276515,0.05644027730785214,0.2696598737862322
2020-04-07,1396092,81937,300054,0.05869025823513064,0.27307417998093675
2020-04-08,1479804,88347,328661,0.05970182537687423,0.2688088942709966
2020-04-09,1565278,95521,353975,0.06102494253416965,0.2698523907055583
2020-04-10,1657526,102534,376096,0.06185966313650585,0.27262720156555775
2020-04-11,1735650,108511,402110,0.06251894103073777,0.2698540200442665
2020-04-12,1834721,114100,421722,0.06218929199589474,0.27055738140291474
2020-04-13,1904838,119491,448655,0.06273026892575642,0.26633159108892135
2020-04-14,1976191,125995,474261,0.06375648912478601,0.2656659518703836
2020-04-15,2056054,134189,511019,0.06526530917962271,0.2625910191206198
2020-04-16,2152437,143814,542107,0.0668144991003221,0.2652871112160514
2020-04-17,2240190,153835,568343,0.06867051455456903,0.27067281553568884
2020-04-18,2317758,159509,592319,0.0688203859074157,0.2692957679898838
2020-04-19,2401101,165043,623903,0.06873638385057522,0.26453310851206036
2020-04-20,2472258,169985,645738,0.06875698248321979,0.2632414384781444
